gene_a	gene_b	combined_score	class_evidence_score	escore	dscore
LEPR	SOCS3	0.919	0.7168925964546402	0.457	0.5
LIFR	OSM	0.993	0.7168925964546402	0.457	0.5
LOC102723407	MET	0.9	0.9	0.9	0
LOC102723407	SYK	0.9	0.9	0	0.9
LOC102723407	TNFRSF10B	0.9	0.9	0.9	0
LOC102723407	TNFRSF9	0.9	0.9	0.9	0
LOC102723407	TNFSF10	0.8	0.8	0.8	0
LRP1	LRP2	0.916	0.9	0	0.9
LTA	LTB	0.999	0.9940563086548487	0.943	0.9
LTA	LTBR	0.997	0.9228362877997914	0.852	0.5
LTA	TNF	0.973	0.9261730969760167	0.292	0.9
LTA	TNFRSF1A	0.999	0.9791449426485923	0.96	0.5
LTA	TNFRSF1B	0.995	0.7528675703858185	0.526	0.5
LTB	LTBR	0.998	0.9478623566214807	0.9	0.5
LTBR	TNFSF14	0.994	0.7168925964546402	0.457	0.5
LTBR	TRAF2	0.945	0.9433785192909281	0.457	0.9
LTBR	TRAF3	0.994	0.9601668404588113	0.618	0.9
LTBR	TRAF5	0.975	0.9433785192909281	0.457	0.9
LY96	TLR4	0.999	0.9962460896767465	0.964	0.9
LY96	TRIL	0.9	0.9	0	0.9
LYN	PIK3CG	0.808	0.7168925964546402	0.457	0.5
LYN	SHC1	0.868	0.7168925964546402	0.457	0.5
LYN	SRC	0.983	0.9574556830031283	0.592	0.9
LYN	STAT3	0.841	0.7168925964546402	0.457	0.5
LYN	YES1	0.796	0.7003128258602712	0.521	0.4
MADD	TNF	0.842	0.7	0	0.7
MADD	TNFRSF1A	0.815	0.7785192909280501	0.292	0.7
MAP3K5	TRAF2	0.997	0.8414598540145986	0.457	0.72
MAP3K5	TXN	0.999	0.9433785192909281	0.457	0.9
MAP3K7	NOD2	0.725	0.7168925964546402	0.457	0.5
MAP3K7	PRKCQ	0.716	0.7168925964546402	0.457	0.5
MAP3K7	RIPK1	0.954	0.7168925964546402	0.457	0.5
MAP3K7	SUPT20H	0.793	0.7932846715328467	0.292	0.72
MAP3K7	TAB1	0.999	0.9723670490093848	0.735	0.9
MAP3K7	TAB2	0.999	0.9722627737226278	0.734	0.9
MAP3K7	TAB3	0.999	0.9604796663190823	0.621	0.9
MAP3K7	TLR3	0.743	0.7429614181438999	0.507	0.5
MAP3K7	TNF	0.882	0.8613138686131387	0.734	0.5
MAP3K7	TNFRSF1A	0.891	0.8613138686131387	0.734	0.5
MAP3K7	TRAF2	0.782	0.7721584984358707	0.563	0.5
MAP3K7	TRAF6	0.998	0.8976016684045881	0.509	0.8
MAPK1	SH3GL2	0.8	0.8	0	0.8
MAPK1	STAT3	0.984	0.926	0.926	0
MASP2	MBL2	0.997	0.9529718456725755	0.549	0.9
MC1R	POMC	0.999	0.953701772679875	0.926	0.4
MC4R	POMC	0.995	0.7760166840458812	0.642	0.4
MMP1	MMP2	0.906	0.9	0	0.9
MMP1	MMP3	0.955	0.9	0	0.9
MMP1	MMP9	0.962	0.9	0	0.9
MMP1	TIMP1	0.982	0.926	0.926	0
MMP10	TIMP1	0.92	0.92	0.92	0
MMP10	TIMP2	0.927	0.904	0.904	0
MMP14	MMP2	0.994	0.9	0	0.9
MMP14	TIMP1	0.999	0.962	0.962	0
MMP14	TIMP2	0.999	0.9642335766423358	0.657	0.9
MMP2	MMP9	0.9	0.9	0	0.9
MMP2	TIMP2	0.999	0.9796663190823774	0.961	0.5
MMP3	MMP9	0.929	0.9	0	0.9
MMP3	TIMP1	0.998	0.946	0.946	0
